date,max,min,mean
2022-04-27,17.620245,3.7402453,10.703162
2022-04-28,20.840246,4.4402456,12.688995
2022-04-29,19.060246,4.2602453,12.6644125
2022-04-30,15.500245,9.020246,12.354412
2022-05-01,16.350246,5.7402453,10.742745
2022-05-02,19.040245,4.4302454,12.439827
2022-05-03,20.240246,7.5702453,14.118164
2022-05-04,19.330246,7.7602453,13.889413
2022-05-05,13.070246,11.0602455,12.2789955
2022-05-06,17.030245,10.930245,13.347328
2022-05-07,20.260244,9.190246,14.866913
2022-05-08,19.900246,8.900246,15.376079
2022-05-09,23.400246,11.520246,17.074827
2022-05-10,25.180244,11.110246,18.386078
2022-05-11,27.940245,12.480246,20.602745
2022-05-12,25.440245,16.120245,20.352331
2022-05-13,21.680244,16.320246,18.400661
2022-05-14,24.360245,12.320246,18.073996
2022-05-15,27.680244,9.850245,19.026495
2022-05-16,24.260244,15.470245,19.54233
2022-05-17,26.840246,12.340245,19.822744
2022-05-18,29.130245,13.210245,21.45733
2022-05-19,28.560246,15.170245,22.591494
2022-05-20,31.360245,16.980246,24.17858
2022-05-21,24.470245,17.050245,20.712748
2022-05-22,24.510244,11.910245,18.368996
2022-05-23,24.890245,15.260245,19.409828
2022-05-24,18.740246,13.860246,16.408579
2022-05-25,22.170246,12.200245,17.01441
2022-05-26,21.370245,11.580245,16.882328
2022-05-27,22.090246,10.910245,16.687746
2022-05-28,19.730246,11.080245,15.591496
2022-05-29,17.630245,8.680245,13.341079
2022-05-30,21.190245,6.670245,14.40441
2022-05-31,22.420246,9.400246,16.339413
2022-06-01,21.870245,11.0602455,17.260244
2022-06-02,24.570246,13.110246,18.946497
2022-06-03,24.120245,13.960245,19.501913
2022-06-04,29.320246,16.830246,22.319412
2022-06-05,24.560246,17.410246,20.43691
2022-06-06,23.400246,13.860246,18.984411
2022-06-07,20.230246,14.960245,17.739416
2022-06-08,22.060246,11.350245,16.251495
2022-06-09,18.690245,13.360246,16.132746
2022-06-10,24.800245,8.400246,17.376913
2022-06-11,28.410246,11.430245,20.451078
2022-06-12,30.760244,12.620245,22.004827
2022-06-13,25.690245,16.570246,21.298996
2022-06-14,28.930244,12.020246,20.651077
2022-06-15,32.470245,14.800245,23.903997
2022-06-16,31.950245,19.270245,25.720245
2022-06-17,32.170246,15.880245,24.633163
2022-06-18,36.580246,15.970245,26.83774
2022-06-19,37.640247,20.400246,29.116081
2022-06-20,32.440247,21.790245,26.802744
2022-06-21,33.730247,17.170246,24.503164
2022-06-22,26.690245,19.190245,22.368162
2022-06-23,30.320246,17.120245,22.655243
2022-06-24,22.880245,16.780245,18.937328
2022-06-25,27.520245,14.150246,20.93816
2022-06-26,27.320246,16.670246,21.612745
2022-06-27,22.400246,16.940245,19.532328
2022-06-28,23.410246,13.690246,19.270662
2022-06-29,27.670246,16.300245,21.951078
2022-06-30,30.120245,14.440246,21.690247
2022-07-01,21.950245,13.850245,17.420244
2022-07-02,27.770245,11.280245,19.931494
2022-07-03,30.980246,14.000245,23.259829
2022-07-04,25.660246,18.640245,22.36441
2022-07-05,28.050245,16.130245,22.385244
2022-07-06,26.370245,15.5602455,20.680662
2022-07-07,24.070246,12.870245,19.041912
2022-07-08,25.290245,14.670245,19.806078
2022-07-09,28.140245,11.740245,20.751913
2022-07-10,25.220245,15.570246,20.44483
2022-07-11,28.520245,12.160245,20.876913
2022-07-12,30.150246,15.300245,22.80191
2022-07-13,33.480247,14.180245,24.900663
2022-07-14,35.79025,20.690245,28.574411
2022-07-15,29.570246,17.100245,23.978163
2022-07-16,28.690245,14.150246,22.202326
2022-07-17,31.750246,14.100245,23.456495
2022-07-18,35.350246,14.570246,25.649
2022-07-19,36.93025,16.600245,27.396498
2022-07-20,33.510246,20.720245,26.261911
2022-07-21,29.280245,18.300245,23.392744
2022-07-22,33.230247,15.840245,24.649414
2022-07-23,29.260244,19.220245,23.938578
2022-07-24,32.290245,18.280245,25.363579
2022-07-25,34.710247,18.300245,26.780663
2022-07-26,27.310246,20.180244,24.009829
2022-07-27,26.870245,16.980246,22.061495
2022-07-28,30.860245,15.020246,23.096497
2022-07-29,26.960245,18.460245,22.682327
2022-07-30,29.160246,15.430245,23.105246
2022-07-31,31.810246,15.670245,24.668165
2022-08-01,31.380245,15.570246,24.13608
2022-08-02,31.070246,17.200245,23.80191
2022-08-03,34.760246,15.760245,26.136496
2022-08-04,37.38025,19.620245,28.754831
2022-08-05,33.460247,22.260244,27.136497
2022-08-06,25.540245,18.370245,21.371078
2022-08-07,27.360245,15.010245,21.290245
2022-08-08,30.380245,13.890245,22.65108
2022-08-09,31.360245,14.270246,23.35441
2022-08-10,30.980246,15.330245,23.467745
2022-08-11,31.220245,14.230246,23.10608
2022-08-12,30.620245,14.580245,23.11608
2022-08-13,31.100245,13.8102455,22.634413
2022-08-14,27.590246,13.830245,21.595245
2022-08-15,24.950245,15.890245,20.549826
2022-08-16,30.560246,15.190246,22.611078
2022-08-17,28.940245,18.220245,22.561495
2022-08-18,21.450245,17.340246,19.167747
2022-08-19,22.870245,18.140245,20.11233
2022-08-20,24.310246,17.660246,20.330246
2022-08-21,26.280245,13.990245,19.700663
2022-08-22,27.350245,14.660245,20.981913
2022-08-23,28.800245,13.760245,21.435661
2022-08-24,30.400246,13.540245,22.230242
2022-08-25,30.560246,14.670245,22.630661
2022-08-26,28.130245,15.710245,21.361496
2022-08-27,24.430244,18.100245,20.511496
2022-08-28,26.050245,16.220245,20.57316
2022-08-29,28.430244,14.240245,21.291494
2022-08-30,28.460245,14.730246,21.129412
2022-08-31,23.650246,16.830246,19.746912
2022-09-01,24.640245,14.040245,18.763578
2022-09-02,24.650246,11.400246,17.643162
2022-09-03,22.630245,15.210245,18.292746
2022-09-04,27.020245,13.290245,19.74566
2022-09-05,28.520245,13.950245,20.563162
2022-09-06,23.230246,17.000246,20.170248
2022-09-07,26.110245,17.420246,20.731495
2022-09-08,23.010244,15.640245,18.494411
2022-09-09,21.760244,15.540245,17.82691
2022-09-10,19.010244,14.8102455,16.475246
2022-09-11,22.390245,13.660245,17.190664
2022-09-12,25.070246,10.130245,16.774828
2022-09-13,27.670246,12.790245,20.081497
2022-09-14,23.580246,19.040245,21.158161
2022-09-15,19.190245,16.380245,17.941912
2022-09-16,16.710245,12.300245,14.908996
2022-09-17,14.530245,9.520246,11.78358
2022-09-18,16.510246,7.9102454,12.40483
2022-09-19,16.870245,9.580245,13.47733
2022-09-20,16.720245,6.4902453,11.629413
2022-09-21,18.450245,5.0702453,11.619411
2022-09-22,18.910246,4.4502454,11.331079
2022-09-23,20.500246,5.5502453,12.860663
2022-09-24,17.700245,11.500245,14.68108
2022-09-25,15.890245,10.180245,12.623577
2022-09-26,15.300245,10.490245,12.747745
2022-09-27,12.330245,10.020246,11.1035795
2022-09-28,12.080245,9.540245,11.180663
2022-09-29,12.540245,9.070246,10.447329
2022-09-30,15.220245,8.900246,11.492744
2022-10-01,14.420245,7.5102453,11.334828
2022-10-02,19.250246,14.230246,16.42066
2022-10-03,16.560246,9.170245,13.302747
2022-10-04,19.500246,7.480245,11.961079
2022-10-05,23.320246,8.670245,14.709827
2022-10-06,18.630245,11.790245,14.571079
2022-10-07,20.630245,10.870245,14.959827
2022-10-08,17.410246,10.900246,14.273579
2022-10-09,17.130245,6.9902453,11.947746
2022-10-10,22.190245,10.490245,15.644829
2022-10-11,18.160246,11.940246,14.683164
2022-10-12,18.200245,11.430245,14.153579
2022-10-13,17.750246,10.110246,13.639409
2022-10-14,17.520245,12.650246,14.819829
2022-10-15,19.670246,14.760245,17.08983
2022-10-16,23.430244,13.420245,16.87108
2022-10-17,23.400246,11.180245,15.850659
2022-10-18,22.770245,13.000245,16.734827
2022-10-19,19.090246,11.460245,14.61858
2022-10-20,17.780245,13.260245,15.231079
2022-10-21,17.640245,14.240245,15.520245
2022-10-22,20.690245,12.510245,15.600662
2022-10-23,19.200245,10.730246,14.639412
2022-10-24,18.530245,12.940246,15.95316
2022-10-25,18.680244,10.820246,13.979409
2022-10-26,21.760244,12.400246,15.802326
2022-10-27,21.150246,10.740245,14.369828
2022-10-28,22.970245,12.860246,16.13191
2022-10-29,22.270245,11.260245,15.416077
2022-10-30,21.630245,10.390245,14.233996
2022-10-31,18.700245,8.910245,12.601911
2022-11-01,16.640245,8.770246,13.763577
2022-11-02,16.060246,6.8002453,11.391076
2022-11-03,12.770246,5.5902452,9.192746
2022-11-04,11.220245,8.030246,9.712745
2022-11-05,10.650246,2.9702454,8.245246
2022-11-06,10.340245,2.8002453,6.072745
2022-11-07,16.380245,6.3402452,10.423577
2022-11-08,16.540245,4.960245,9.393579
2022-11-09,13.5602455,9.690246,11.728995
2022-11-10,14.010245,6.3202453,10.208161
2022-11-11,12.070246,4.900245,7.745662
2022-11-12,9.700245,5.4902453,7.1881614
2022-11-13,7.420245,4.2902455,5.6252456
2022-11-14,12.870245,4.1602454,8.157745
2022-11-15,12.230246,7.900245,10.003163
2022-11-16,14.020246,7.2402453,10.586912
2022-11-17,14.390245,8.660245,11.810246
2022-11-18,10.080245,7.610245,8.992328
2022-11-19,9.790245,6.210245,7.6660786
2022-11-20,8.970245,5.3402452,6.896078
2022-11-21,9.670245,6.3202453,7.6169124
2022-11-22,8.910245,6.4302454,7.5119114
2022-11-23,10.220245,1.7802454,6.5410786
2022-11-24,11.140245,3.5702453,7.9989953
2022-11-25,10.500245,3.9302454,6.5060782
2022-11-26,8.570246,3.0202456,5.567329
2022-11-27,7.4902453,1.6302454,4.164829
2022-11-28,8.870245,4.360245,6.625246
2022-11-29,9.180245,6.4502454,7.6327457
2022-11-30,7.730245,5.000245,6.7006626
2022-12-01,5.5102453,3.8102455,4.605245
2022-12-02,4.9102454,1.8102454,3.7744122
2022-12-03,3.4702454,1.4702454,2.1606622
2022-12-04,3.1002455,0.8002454,2.070662
2022-12-05,6.210245,0.1802454,3.3731616
2022-12-06,4.4602456,-0.4597546,1.8106622
2022-12-07,4.9302454,1.6202455,3.233579
2022-12-08,3.5102453,-1.9497546,1.0160788
2022-12-09,1.2402453,-1.4197546,-0.16392128
2022-12-10,0.9902454,-2.2797546,0.36232874
2022-12-11,-0.52975464,-7.1297545,-2.8585045
2022-12-12,-2.1597548,-7.099755,-5.189755
2022-12-13,-1.8897547,-7.1997547,-4.4164214
2022-12-14,2.3202453,-2.3797545,-0.1530879
2022-12-15,1.1902454,-0.3897546,0.52816206
2022-12-16,-0.4397546,-3.2897544,-1.3918381
2022-12-17,-0.9197546,-5.3797545,-3.5718377
2022-12-18,0.7002454,-4.329755,-2.3526714
2022-12-19,6.2002454,-0.64975464,2.0035784
2022-12-20,9.150246,1.8202454,4.8385787
2022-12-21,11.200245,7.1402454,9.259828
2022-12-22,12.570246,9.700245,11.624412
2022-12-23,14.330245,11.620245,13.257328
2022-12-24,13.370245,9.540245,11.091911
2022-12-25,11.280245,6.8202453,9.0152445
2022-12-26,11.510245,9.210245,10.440662
2022-12-27,9.0602455,3.1602454,6.2552457
2022-12-28,10.640245,2.6702452,6.351912
2022-12-29,13.290245,8.860246,11.641079
2022-12-30,13.8102455,4.3902454,8.933579
2022-12-31,16.970245,12.350245,14.557327
2023-01-01,17.230246,9.030245,12.335662
2023-01-02,14.500245,7.420245,10.1435795
2023-01-03,9.970245,3.1502452,6.991495
2023-01-04,10.720245,4.5002456,7.771078
2023-01-05,12.410245,8.640245,10.915662
2023-01-06,10.500245,6.860245,8.752746
2023-01-07,11.090245,5.5702453,7.5644116
2023-01-08,9.050245,4.150245,6.9794135
2023-01-09,9.050245,5.1802454,6.774412
2023-01-10,7.520245,4.7802453,5.8944116
2023-01-11,9.890245,7.2802453,8.634412
2023-01-12,10.410245,7.380245,8.930661
2023-01-13,10.720245,7.6202455,9.280662
2023-01-14,10.820246,6.3202453,8.588579
2023-01-15,12.240245,4.420245,7.949412
2023-01-16,6.8302455,3.5902452,4.8952456
2023-01-17,3.7702456,0.7902454,2.011912
2023-01-18,2.2602453,-0.39975458,1.2969121
2023-01-19,1.8202454,-3.1097546,-0.9997545
2023-01-20,1.9902455,-3.709755,-1.3130879
2023-01-21,1.0702454,-4.519755,-1.4472545
2023-01-22,1.7402455,-0.72975457,0.3981621
2023-01-23,3.4202452,0.4002454,1.7302455
2023-01-24,5.040245,3.1002455,3.7344122
2023-01-25,3.6002455,2.2802453,2.9277458
2023-01-26,2.4202454,-0.7197546,0.5848288
2023-01-27,1.4702454,-1.0897546,0.008578704
2023-01-28,2.9202452,-0.10975462,1.338162
2023-01-29,2.5502453,-2.7297544,0.7606621
2023-01-30,3.2302456,-3.1397548,0.18024547
2023-01-31,5.150245,-0.4297546,2.7435787
2023-02-01,6.770245,2.9202452,4.9010787
2023-02-02,7.3902454,4.980245,6.0452456
2023-02-03,8.400246,5.270245,6.663996
2023-02-04,8.840245,2.0602455,6.5298295
2023-02-05,5.5702453,0.35024542,2.9623287
2023-02-06,4.9902453,2.0102453,3.5989954
2023-02-07,4.8002453,-3.1597548,0.5148287
